date,mouse,sex,strain,genotype,DOB,HL,experimenter,metadata_version,timepoint
2025-05-06,Cat_226,F,CBAxC57,WT,2025-01-23,None,rowan,v6,apreA
2025-05-06,Cat_227,F,CBAxC57,WT,2025-01-23,None,rowan,v6,apreA
2025-05-09,Cat_226,F,CBAxC57,WT,2025-01-23,None,rowan,v6,apreB
2025-05-09,Cat_227,F,CBAxC57,WT,2025-01-23,None,rowan,v6,apreB
2025-05-12,Cat_226,F,CBAxC57,WT,2025-01-23,bilateral,rowan,v6,postA
2025-05-12,Cat_227,F,CBAxC57,WT,2025-01-23,sham,rowan,v6,postA
2025-05-14,Cat_226,F,CBAxC57,WT,2025-01-23,bilateral,rowan,v6,postB
2025-05-14,Cat_227,F,CBAxC57,WT,2025-01-23,sham,rowan,v6,postB
2025-05-15,Cat_228,F,CBAxC57,WT,2025-01-23,None,rowan,v6,apreA
2025-05-15,Cat_229,F,CBAxC57,WT,2025-01-23,None,rowan,v6,apreA
2025-05-20,Cat_228,F,CBAxC57,WT,2025-01-23,None,rowan,v6,apreB
2025-05-20,Cat_229,F,CBAxC57,WT,2025-01-23,None,rowan,v6,apreB
2025-05-24,Cat_228,F,CBAxC57,WT,2025-01-23,sham,rowan,v6,postA
2025-05-24,Cat_229,F,CBAxC57,WT,2025-01-23,bilateral,rowan,v6,postA
2025-05-27,Cat_228,F,CBAxC57,WT,2025-01-23,sham,rowan,v6,postB
2025-05-27,Cat_229,F,CBAxC57,WT,2025-01-23,bilateral,rowan,v6,postB
